session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,MAF(air flow),Coolant,Engine Load,RPM,Throttle position,STFT - Bank1,Timing advance,Absolute throttle position B,Fuel Rail Pressure,Catalyst Temp - Bank 1  Sensor 1,Catalyst Temp - Bank 2  Sensor 1,STFT - Bank2,LTFT - Bank1,LTFT - Bank2,Air Fuel Ratio (alt),Air Fuel Ratio,Absolute load value,O2 S1 Equiv. Ratio and/or Current,Relative throttle position
1605011333139,1605011333954,9.26790562376709,48.7671769896124,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,
1605011333139,1605011334952,9.267907902540076,48.76717541228709,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,,,,,,,,,,,,
1605011333139,1605011335952,9.2679105092643,48.767174975519026,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,590.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011336953,9.26791504521518,48.767168731485704,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,590.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011337952,9.267915126138258,48.767169546149056,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,590.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011338952,9.26791565977005,48.767170111147145,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,560.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011339952,9.26791526361024,48.76717102175033,0.0,0.0,0.0,9.0,0.0,0.0,14.901961,0.0,0.0,14.901961,550.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011341952,9.267910944973904,48.767173037222946,0.0,0.0,0.0,9.0,0.0,0.0,14.901961,0.0,0.0,14.901961,550.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011342952,9.267911509188313,48.7671726469211,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,550.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011343952,9.267916201935925,48.76717383520477,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,550.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011344952,9.267921812578395,48.76717573624222,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,540.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011345953,9.267927488407954,48.76717628990139,0.0,0.0,0.0,9.0,0.0,0.0,14.901961,0.0,0.0,14.901961,540.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011346952,9.267924579946897,48.76717708116975,0.0,0.0,0.0,9.0,0.0,0.0,14.901961,0.0,0.0,14.901961,550.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011347954,9.267926689872663,48.76717786547063,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,530.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011348952,9.267931361538512,48.7671822740624,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,530.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
1605011333139,1605011349952,9.26793303199639,48.76718568975618,0.0,0.0,0.0,8.0,0.0,0.0,14.901961,0.0,0.0,14.901961,520.0,-0.099998474,-0.099998474,0.0,-7.03125,-3.125,9.0,9.004395,0.0,1.0004883,5.490196
